P027	— Я іншого мистецтва навчався.
P079		Іван прокинувся в лагідних обіймах Маші. Так би щодня до кінця життя, майнула думка. Та довго розніжуватися в її прохолодних обіймах він не став.

P080	— Опритомнів, Ваню? — стривожено спитала кохана.

P081	— Так… так, дякую, люба. Мене тут трохи приспав… дехто. — Журналіст роздратовано глянув на зварювальника, але згадав, що сам винен, і враз пом’якшав. — Та гаразд, сам винен.

P091	— Наступного разу на лікарняний відправлю. Дивись мені. Ну все, бувайте.

P108	— Так, подобається. Щоправда, компліменти в нього виходять куди краще за всілякі повчання.

P109	— Любиш компліменти — люби й повчання. Життя — штука сувора.

P110	— Що далі, то гірше. Гаразд, якщо вже в тебе «ці дні», ходімо краще прогуляємося. У мене сьогодні все одно пар більше не буде. Дай мені п’ятнадцять хвилин.

P111	— Готовий до праці й оборони.

P112		Маша підвелася — вона й досі була в халаті — й пішла до своєї кімнати. Іван укотре милувався її звабливими формами й не вірив своєму щастю: з якого боку не глянь, вона була гарна. Думки знову закрутилися в голові. Краса — це дивовижно, але вона минуща. Можна закохатися в чудові карі очі, темно-каштанове волосся чи витончений вигин тіла, але полюбити… полюбити можна тільки душу людини. А що таке душа? Що ховається за цим ефемерним поняттям? Іван не знав. Йому здавалося, що душа — це вчинки заради інших. Один його знайомий щоранку надсилає дівчині на іншому кінці країни веселе привітання й побажання гарного дня. І так уже п’ять років! Інший готує каву з двома шматочками цукру. Дрібниці, але з них і складається життя. Вані завжди здавалося: найважче — навчитися радіти життю. Кожен, хто замислиться бодай на мить, знайде у своєму житті щось, що варто виправити, змінити, доробити чи прибрати заради омріяної досконалості. Та ідеальною буває хіба мрія. Бо що б людина не налагодила в одній царині, в іншій неодмінно щось завалиться. Поправив здоров’я — скінчилися гроші; знайшов нову роботу — розійшовся з коханою людиною; зустрів свою половинку — почалися проблеми в родині. А живеш сьогоднішнім — і великих проблем наче немає. Ні тобі тривог про майбутнє, ні минулого, що женеться назирці. Бурхливе «зараз» — єдине, що в нас є! Ох, і як же важко навчитися насолоджуватися сьогоденням… Шкода, що найважливіших життєвих уроків не дають ні школа, ні університет. Усього найцікавішого доводиться вчитися на ходу. А ніжки в неї все-таки чудові! На цій прекрасній ноті у дверях з’явилася примадонна, і вони вийшли надвір.

P134	— І на біса воно мені здалося? Навіщо мені історія моєї країни? Я знаю одне: захід на ножах зі сходом, а центр намагається всіх угамувати. Хоча ні в чому не можна бути певним. Як ми обоє бачимо, виходить у нього не надто вдало. Не хочу я з’ясовувати, чому вони один одного так бісять! Бісять — і край. Треба зрозуміти, як із цим жити зараз.

P135	— Але розуміння цього історичного протистояння допоможе сторонам знайти компроміс і дійти спільного знаменника! Можна ж допомогти всім уживатися мирно.

P136	— Є конфлікти, які століттями не можуть залагодити. А істориків там аж задосить. Та й узагалі, більшість проблем не розв’язали люди куди розумніші за нас із тобою. Куди вже нам.

P137	— З тобою марно говорити! На все маєш відмовку.

P138	— Та тому що хочу жити зараз. Мені набридли новини: там когось убили, там щось украли. Один бомбить другого, той — третього. У нашій країні все погано, у якійсь іншій — усе чудово. У мене старе авто, а в сусіда нове. Мені вже осточортіло намагатися зрозуміти проблеми суспільства, країни, світу! Скрізь стільки зайвої, нікому не потрібної інформації. Я весь час хотів усе знати й стежити за всім довкола. Голова пухла! Ти завжди дивувалася, звідки я стільки прочитав і чому маю такий словниковий запас. Та в мене просто часу не лишалося пожити. Хотів знати, як люди живуть тепер, як жили у двадцятому столітті, у дев’ятнадцятому, у п’ятому. А коли й цього стало мало, читав про те саме в різних країнах. Потім — у різних суспільних верствах. І що це дало моєму життю? Нічого! Я просто досконало знав купу нікому не потрібних фактів. От і все. І знаєш, що я тоді зробив?

P139	— ?

P140	— Просто. Вийшов. Прогулятися.

P141	— Отак просто?

P142	— Так. Я ввімкнув музику гучніше, спробував вимкнути голову й почав дивитися довкола. На двох хлопців, що йшли поруч. На бабусь біля під’їзду, які лускали на лавці насіння й явно обговорювали молоду дівчину, що прямувала до дверей. На машини, що проїжджали повз і без кінця голосно сигналили одна одній, хоча всім було ясно: затор із місця не рушить. На дерева, які я бачив тисячі разів. На сіре небо. Музика не допомагала, тож я зібрався з силами й подивився на милу пару під деревом. І зрозумів: вони живуть цією миттю — тим прекрасним «зараз», яке наповнює силою й дає відчути, що ти живий. Саме тепер. Тільки він і вона. Вони вбирають цю мить кожною клітинкою тіла. Не думають, як прийшли до цього дерева чи куди підуть потім. Важливо лише те, де вони зараз.

P143	— Нічого собі! Мені аж захотілося побути тією дівчиною. Не думала, що ти вмієш бути таким романтиком. А в нашому простенькому жартівникові, виявляється, живе філософ.

P144	— Усі ми філософи. Просто напрями в нас різні. А тією дівчиною ти зараз станеш, не хвилюйся. Он дерево неподалік. Ходімо.

P145	— А як же історія?

P146	— Ні ти мене, ні я тебе не переконаємо. То навіщо це обговорювати? Краще розслабмося й відпочиньмо.

