P175	— Бездоганні факти. Не прискіпаєшся.
P202	— Із певними застереженнями. Зміни можуть бути лише незначними й не виходити за межі вашої тодішньої моралі. Якщо в п’ять років ви вважали, що вкрасти кілька цукерок — не так уже й погано, то можете замість них поцупити батон, шоколадку чи лимонад. Але взяти батон і відлупцювати ним продавця вже не вийде. Або якщо у двадцять років ви кохаєтеся з дівчиною й хочете змінити позу — будь ласка. Та прив’язати її до труби й утнути щось, гм-м, експериментальніше — ні. Навіть заради різноманіття. Це вже виходить за межі вашої моралі на той момент.

P203	— Не позбавлено сенсу. Я б у будь-якому разі такого не зробив.

P204	— Ніколи не кажи «ніколи». У вічності ця фраза має сакральний сенс. Попри те, що ми трохи затрималися, ставте останнє запитання — і закінчимо.

P205	— Гаразд. Як заповіді й, відповідно, гріхи оцінювалися за важливістю? Як вони видозмінилися за цей час?

P206	— Пояснення затягнеться.

P207	— У нас часу, як казав один космічний десантник в «Історії іграшок», до нескінченності й далі!

P208	— Почнімо із заповідей. До парафіяльної школи ви, природно, не ходили й усього не пам’ятаєте. Опишу їх простою та зрозумілою мовою, без чіткого дотримання Святого Письма: <i>вірити в єдиного Бога</i>, <i>не створювати собі кумирів</i>, <i>не вимовляти ім’я Бога намарно</i>, <i>пам’ятати про вихідний</i>, <i>шанувати й поважати батьків</i>, <i>не вбивати</i>, <i>не чинити перелюбу</i>, <i>не красти</i>, <i>не брехати, не заздрити</i>.

P209	— Та пам’ятаю я їх, — ображено озвався я.

P210	— <i>Вірити в єдиного Бога</i>. Цю заповідь ми зробили несуттєвою. Особливо для атеїстів і всіх подібних. Дехто навіть пропонував її прибрати, адже люди й так вірять, але традиція є традиція. Переважна більшість людей вірить у єдиного Бога, а невелика група не вірить узагалі, тож ця заповідь уже не така важлива, як колись. Ясна річ, Землю ми створили не відразу, а методом спроб і помилок. Тому щодо еволюції людини Дарвін таки мав рацію. Щоправда, рушієм була не природа, а експерименти архікерівництва. Лише бос усе знає й уміє, але особисто створювати людей «за образом своїм, за подобою своєю» йому не довелося. Як я вже казала, робота потрібна всім, тож усі радощі вашого створення він доручив керівникам нижчого рангу. Так дослідним шляхом вони й дійшли до людей. До чого це я?.. Спочатку люди мало чим відрізнялися від тварин і вірили здебільшого в те, що бачили. Треба було вас якось переконати. Бос призначив дрібніших керівників департаментів природних явищ. Бачиш блискавку? Це такий бог. Океан? Інший бог. Кожен народ вигадував їм власні імена, але суті це не змінювало. Кілька тисячоліть — і людство вже вірить у богів. Лишалося переконати людей, що Бог насправді один. Крім того, компанія мала ще кілька правил. Їх і подали як заповіді, щоб люди знали, як жити.

P211	— Яка струнка теорія вийшла! І еволюція була, і Бог єдиний.

P212	— Щоб люди щиро вірили, вони мають у цій вірі народитися й жити. Щирим легше переконувати інших. А вже в який спосіб — не мені вирішувати. У будь-якому разі віра вкаже чіткий шлях.

P213	— Я певною мірою заздрив вірянам. Не релігійним фанатикам, а тим, хто виявляє свою віру дотриманням заповідей. Не ходінням до церкви. Усе-таки релігію та віру я розрізняю.

P214	— Не можу ні погодитися, ні заперечити. <i>Не створювати собі кумирів.</i> Тут ідеться про ідолопоклонство, тому важливість цієї заповіді й проблема, яку вона розв’язувала, ті самі, що й у попередньої. <i>Не вимовляти ім’я Бога намарно</i>. Як ви розумієте, бос чує всіх, хто молиться. У кращому разі це просто важко, у гіршому — постійна мігрень. Заповідь не найважливіша, але під час особистої зустрічі бос міг би запитати, навіщо ви все життя дошкуляли йому дрібницями. От і запровадили правило: не турбувати його через дурниці. Бос — постать значна, і коли хтось просить гарну іграшку, машину чи он ту жінку, яка пританцьовує на барній стійці, це велика неповага до Всевишнього. Особливо до його відпочинку.

P215	— Згоден. Відпочивати треба всім, навіть Богові.

P216	— Так ми плавно переходимо до заповіді <i>завжди пам’ятати про вихідний день.</i> Хто забагато працює, той рано помирає. А бос любить людей і хоче, щоб вони жили довго й щасливо, тому й наказав відпочивати. До того ж, коли людство відпочиває, бос може спокійно всіх вислухати: молитов багато, а він один.

P217	— Важка й відповідальна посада.
