P001	<b>01.04.2132, 21:32. Внекорабельная деятельность</b>
P017	— Давай шлем, весельчак. Сейчас помогу с остальным. А ты наслаждайся! — он помог Сергею снять скафандр и повесил его в шкафчик. — Понравилось?

P018	— Где ты вообще достал веселящий газ? — все еще с улыбкой на лице, но уже с воинственным взглядом спросил Баровский друга. — Такие вещи нельзя провозить на орбитальные станции! Даже на такие старые, как наша.

P019	— Это уже моя проблема. Ты такой строгий ходишь, что под конец третьего нашего прилета хотел тебе оставить приятное воспоминание. Повторюсь: жизнь — она в моменте, парень!

P020	— Знаю я твою философию. А ты знаешь, что меня никак не изменить! Я же тебе рассказывал про отца.

P021	— Помню, друг. Помню, — О’Хара похлопал товарища по плечу. — Но кто прошлое помянет, тому глаз вон. Так у вас, русских, ведь говорят? Не забудь. Ты сохранил себе 0,01 секунду жизни за этот год!

P022	— Ты не забыл, что мы не знаем точное расхождение в расчете времени на лунной станции и на Земле? Ты говоришь про те измерения, что были в МКС.

P023	— Эх, славное тогда было зрелище по уничтожению станции в 2026 году... Ладно, погнали в столовую праздновать. Дай мне только несколько минут, чтобы я вернул кислородные баллоны на место, а то мало ли, кто-то еще помрет со смеху. В прямом смысле.

P024	— Погнали, весельчак, — слегка отрешенный взгляд лейтенанта просветлел. — А Юля уже там?

P025	— Дасс? Да, где-то час болтает с Шоном и Акито.

P026	— Чем ей так нравятся эти парни?

P027	— Ей только дай возможность пощеголять знанием мандаринского и японского. Впервые вижу такого фаната азиатской культуры!

P028	— У каждого свои слабости, Генри. Ты, к примеру, страшно надоедливая сволочь.

P029	<b>01.04.2132, 21:50. Теории контакта</b>

P030	— Я пока ремонтировал батареи, вот о чем подумал, Генри, — сказал Сергей, когда, проходя стыковочные секции, они направились в сторону столовой. Он иногда подносил бокал ко рту, чтобы выпить вина. — Почему у нас дома государства постоянно конфликтуют? Мы ведь здесь такого не делаем? Ни на нашей заправочной станции, ни на первой о'ниловской никто не ссорится. У нас, в принципе, особых проблем за сто лет и не было.

P031	— Бывало всякое по мелочи, Серж, но в целом ты прав. Моя теория строится на базовой необходимости. Смотри. Дома ты живешь в комфортном семейном и дружеском кругу, в своем родном городе, где все просто и знакомо. Тебе ничто смертельное не угрожает, и ты можешь запереться у себя дома, если уж кто-то надоел, и отдыхать от всего и вся.

P032	— Допустим. И что?

P033	— А на станции? Где тут спрячешься? У нас место ограниченное, гравитации нет, и все очень тесно взаимосвязаны. Наши жизни зависят друг от друга. Представь: если я тебя чем-то обидел, то сколько у тебя всяких вариантов меня подставить, чтобы отомстить?

P034	— Я даже не знаю, с чего начать... Да вот хоть твой подарочек в кислородном баке. Чем тебе не возможность? Не дай бог какая критическая ситуация, а у меня в баллоне веселящий газ вместо кислорода. Пять минут имеют значение.

P035	— Вот видишь. Хочешь не хочешь, а придется доверять всем и быть более снисходительным и понимающим. Мы все в одной лодке — вот и не ссоримся. Нет у нас такой роскоши, как склоки. А дома и время, и свобода, и желание появляются.

P036	— Грустно как-то от этого.

P037	— Мы уже лет пятьдесят как решили жизненно важные проблемы людей. Но так уж мы устроены, чтобы вечно быть недовольными. Во всем. Даже когда все превосходно.

P038	— Аминь.

P039	Они пришли. Здесь можно было отключить магнитную подошву ботинок — столовая была единственной секцией с искусственной гравитацией. Лет двадцать назад одна из сотрудниц пожаловалась на то, что ей хочется за годовую смену хотя бы нормально поесть в условиях гравитации, близкой к Земле. Ученые и космонавты почесали затылки: петицию подписали всем составом. Вот и закончили десять лет назад новую столовую. Теперь можно наслаждаться привычным завтраком. Права человека — хоть в чем-то человечество преуспело!

P040	Генри подтолкнул Сергея в сторону бара:

P041	— Возьми мне еще бокал сухого красного.

P042	— «Каберне», как обычно?

P043	— Да.

P044	— А зачем тебе еще один? Ты же и первый не допил.

P045	— А вдруг у Юли там разговор интересный? Возьму на случай более длинного разговора.

P046	— Да, очередь у бара знатная. Последую твоему совету и тоже возьму сразу несколько бутылок темного.

P047	Генри поблагодарил лейтенанта и направился к столику сержанта Юли Дасс. Светловолосая и голубоглазая украинка выглядела, как всегда, великолепно! На ней даже серая инженерная роба сидела так, что прекрасно подчеркивала фигуру пилота. Наполовину расстегнутая верхняя часть своими рукавами служила поясом для штанов. Многие хотели бы стать этими рукавами... Постоянная забота о своей внешности сделала Валентину первой красавицей на станции! В принципе. За все время. Она была иногда слишком эмоциональной, но пилоты все такие. Работа требует от них максимальной сосредоточенности, вот и отыгрываются в реальности. И как судьба свела ее с Сергеем, до сих пор никто не знает. Культурная схожесть, как он говорит. Она оживленно общалась с невысоким, но крайне обходительным биохимиком Акито Таконаши и задумчивым психологом Шоном Чаном. Разговор шел на повышенных тонах.

P048	— Тако, но почему ты постоянно со мной споришь? Доводы железобетонные!

P049	— Мисс Дасс, вы мне крайне симпатичны, но ваши доводы просто нелогичны. Вы отрицаете взгляд на этот вопрос со стороны биохимии! Господин Чан, вы согласны?

P050	— Мне понятна ваша точка зрения, господин Таконаши. Она правдива только в случае существования подобной цивилизации.

P051	— Чего так разгорячились, народ? Или, лучше сказать, разгорячилась! Джули, неужто про инопланетян спорите? — капитан подошел к столику. — Снова пытаешься переубедить парней?

P052	— А то! Я им докажу, что если мы обязательно встретимся с инопланетянами, то они определенно нас прикончат! Нужно наносить удар первыми, чтобы не опомнились. Боятся — значит уважают!

P053	— А если они сильнее?

P054	— Тогда мы смекалкой их! — Юля стукнула кулаком по столу, допила пиво и решительно посмотрела в сторону бара. — Серега не закончил еще?

P055	— Он у барной стойки. Возьмет несколько порций, так что заберешь у него потом. Хотя… герой уже возвращается.

P056	Техник подошел с несколькими бокалами пива и вина на подносе.

P057	— Серж, они снова о контактах треплются.

P058	— Да я и не сомневался. Привет, чертенок мой чернокрылый, — Сергей поцеловал Юлю. — До сих пор спорите?

P059	— Конечно, белокрылый ты мой! Мы еще в процессе. Я возьму у тебя одно пиво? — она улыбнулась и мило посмотрела ему в глаза.

P060	— А у меня есть выбор?

P061	— А сам как думаешь?

P062	— Эх-х… — он пододвинул бокал ближе к ней и вздохнул. — Так понимаю, мне все же придется разбираться с этим вашим спором, да? — Баровский взял бокал темного и сделал солидный глоток. — Я уж думал, пронесет. А из-за чего весь сыр-бор?

P063	— Тако и Шон пусть первые скажут. Они же у нас ученые со степенями.

P064	— Юля, пассивная агрессия все равно не решает проблему, а лишь создает новые. Господин Таконаши, вы не против, если я начну первым? — Шон развернулся в сторону сидящего сбоку биохимика.

P065	— Нисколько, господин Чан, — ученый кивнул в ответ.

P066	— Итак, как вы уже все знаете, тема нашей дискуссии заключается в реакции человечества на контакт с инопланетной расой. У нас мнения расходятся ввиду специфики нашей деятельности. Юля рассуждает с точки зрения военного ремесла, а мы — с точки зрения психологии и биохимии. Это ни в коем случае не говорит о том, что они противопоставляются друг другу, просто они различны по сути.

P067	— Шон, так что там со стороны психологии? — спросил Сергей.

P068	— В XXI веке существовала такая программа, как SETI. Она специализировалась на поиске внеземных радиосигналов. И в этом была основная ошибка. Психологи считают, что человечество не может обнаружить внеземной разум из-за аналога слепоты невнимания. Этот психологический феномен заключается в неспособности разглядеть предмет, попавший в поле зрения, из-за присутствия других объектов, на которых сконцентрировано внимание человека. В доказательство своей точки зрения психологи провели когнитивный тест с участием ста тридцати семи добровольцев, который состоял из нескольких частей. Первая была проверкой на когнитивную рефлексию, которая заключается в оценке способности человека правильно решить задачу, быстрый интуитивный ответ на которую является неверным. После этого участникам даЮли аэрофотографии искусственных и природных объектов. В один из снимков было вставлено уменьшенное изображение человека в костюме гориллы (намек на знаменитый эксперимент с невидимой гориллой). Оказалось, что те, кто склонен к импульсивному поведению и торопился дать неверный ответ, чаще замечали гориллу на снимках. В то же время люди с аналитическим складом ума более склонны к «слепоте невнимания». Такие результаты, по мнению психологов, свидетельствуют о том, что ученые, возможно, не замечают других свидетельств существования внеземных цивилизаций. Это также говорит о том, что инопланетяне, если и найдут нас, могут так же нас просто не заметить. Они могут действовать в другом пространстве. Поэтому мне кажется, что инопланетян мы так и не найдем никогда. Такова моя версия.

P069	— Могу добавить, Шон, что психологи также раскритикоЮли шкалу Кардашева, применяемую для оценки технологического развития гипотетической цивилизации на основе потребляемого ею количества энергии. Так, цивилизации первого типа используют все доступные ресурсы на родной планете, второго типа — энергию звезды, а третьего типа — энергию всей галактики. Таким образом, поиск радиосигналов дает возможность найти цивилизации только первого типа. Так что есть много факторов, которые говорят о невозможности контакта с инопланетянами в целом.

P070	— Так точно, лейтенант, — утвердительно кивнув Сергею, Шон посмотрел на японца. — Теперь вы, господин Таконаши.

P071	— Спасибо, господин Чан. Если многоуважаемый профессор говорит про невозможность контакта в целом, то я настаиваю на том, что контакт определенно будет, рано или поздно, но лишь с условием, что, скорее всего, не с гуманоидной расой. Ведь Вселенная настолько разнообразная, и мы абсолютное большинство систем даже не видели, я уже молчу про глубокие исследования. Да, намного легче рассуждать о том, что инопланетные цивилизации развиЮлись так же, как и мы, но это не так. Есть необъятное количество способов развития. Они нам просто не известны! Тут все дело в биологии. Феномен «инопланетной ДНК». Вы много раз читали в книгах или смотрели в фильмах, что инопланетяне встроили в человека «свою ДНК», ученые скрестили «ДНК инопланетян» с ДНК человека — подобные элементы сюжета встречаются во многих научно-фантастических произведениях. И во всех этих произведениях факт наличия у инопланетян генетического года, аналогичного генетическому коду человека, принимается как некий закон природы и само собой разумеющийся факт. Однако это не так…

P072	— Точно, Тако, — подтвердила пилот. — У меня еще остались свежие впечатления от прочитанного бестселлера Сэма Прокланда о слиянии тел чужих и людей в «Сатиократии». Классный роман! Когда Алекса влюбилась в исследовательницу расы Кри, Ксаорши...

P073	— И с точки зрения науки — полнейшая чушь! — перебил ее биохимик. — Генетический код — это последовательность нуклеотидов, из которых состоит молекула ДНК. Способ кодировки информации в молекуле ДНК одинаков у всех организмов, живущих на Земле. Именно поэтому человеческая клетка, зараженная вирусом, понимает язык вирусной ДНК и может на основе этой ДНК построить миллионы новых вирусов. Благодаря этому вирус способен поражать человека и размножаться, используя его ресурсы. Основная суть в том, что у нас общий предок, и поэтому мы все совместимы. А прибывшие с других планет состоят из другого «генетического теста». Они даже могут не использовать понятную нам ДНК для сохранности информации, а хранят ее другим способом. Поэтому представлять, что мы встретим обязательно гуманоидов, в корне неверно. Скорее всего, это будет что-то другое. Просто наука не знает, что именно.

P074	— Тако, я не сказала, что захватчики будут именно гуманоидами! Я просто говорю, что они точно нас уничтожат. Ну, либо мы их.

P075	— Вы сейчас прямо сказали, мисс Дасс, что они гуманоиды.

P076	— Я тебя не понимаю… — Юля покачала головой. — Почему, если они агрессивные, то сразу гуманоиды?

P077	— То, что отличает человека от других видов живых существ на нашей планете в условиях эволюции, базируется на главном принципе — агрессии. Чтобы какой бы то ни было вид успешно размножался в рамках определенной среды, ему необходимо противостоять трудностям и преодолевать их. Это подстегивает к развитию эволюционных адаптаций. Доминантная форма жизни на планете, а именно к такой форме принадлежат инопланетяне, по вашему мнению, должна полностью подчинить себе окружающую среду, в которой она существует.

P078	— Правильно, Тако. И любая форма разумной жизни, которая доберется до нашей планеты, должна прибыть с целью исследования. Инопланетяне, как и любой другой развитый вид, будут использовать технологии с выгодой для себя. Они, вероятнее всего, уничтожат все формы жизни на планете, которую рассматривают в качестве цели и на которую захотят приземлиться. Едва ли это будет война миров. Скорее всего, нас просто уничтожат без шума и пыли, как ненавистных насекомых. Поэтому нужно отвечать заранее. Бабахнуть в их сторону погромче, чтобы поняли, что мы не тараканы!

P079	— Я же и говорю: вы сразу подразумеваете, что чужой разум будет принимать схожие решения, что и люди, а это говорит о том, что вы считаете инопланетную расу гуманоидной и склонной действовать так же, как и мы. Это и есть биологический тезис того, что вы размышляете с точки зрения человека о человеке.

P080	— Ладно, профессор, теперь вы рассуждаете в ином ключе, хотя до этого говорили, что я в корне не права. Возможно, с точки зрения биологии все правильно. Но тем не менее в случае с гуманоидной расой я буду права.

P081	— Возможны некоторые корреляции даже в этом случае. Понимаете, также следует учесть, что бывают и разные социальные…

P082	— Господин Таконаши, — перебил его техник, — поверьте моему опыту общения с этой прекрасной девушкой, лучше остановиться на этом моменте.

P083	— Воля ваша, мистер Баровский.

P084	— Вот и замечательно, господа и дама! Теорий много, но на то они и теории, чтобы о них размышлять и их придумывать. А вот вино нужно для того, чтобы его пить! Поэтому внимание! На часах без минуты полночь, так давайте же выпьем за наступивший день рождения нашего дорогого Сержа! — Генри О’Хара поднял бокал красного, смотря на часы. — Пять!

P085	— Четыре! — поднял свой стакан с коктейлем Шон Чан.

P086	— Три! — в воздухе зависла чашка с чаем Акито Таконаши.

P087	— Два! — это была бравая Юля.

P088	— Один! — завершил обратный отсчет Сергей.

P089	Станцию сильно тряхнуло. Свет погас. Мрак.

P090	<b>02.04.2132, 00:05. Корректировка курса</b>
