P001	<b>01.04.2132, 21:32. Позакорабельна діяльність</b>
P039	Вони прийшли. Тут можна було вимкнути магнітні підошви черевиків: їдальня була єдиною секцією зі штучною гравітацією. Років двадцять тому одна зі співробітниць поскаржилася, що за річну зміну їй хочеться бодай нормально поїсти в умовах гравітації, близької до земної. Науковці й космонавти почухали потилиці — петицію підписали всією командою. От десять років тому й добудували нову їдальню. Тепер можна насолоджуватися звичним сніданком. Права людини — хоч у чомусь людство досягло успіху!

P040	Генрі підштовхнув Сергія до бару:

P041	— Візьми мені ще келих сухого червоного.

P042	— «Каберне», як завжди?

P043	— Так.

P044	— А навіщо тобі ще один? Ти ж і першого не допив.

P045	— А раптом у Юлі там цікава розмова? Візьму про запас, якщо вона затягнеться.

P046	— Так, черга біля бару добряча. Дослухаюся до твоєї поради й теж одразу візьму кілька пляшок темного пива.

P047	Генрі подякував лейтенантові й попрямував до столика сержантки Юлі Дасс. Світловолоса й блакитноока українка, як завжди, мала розкішний вигляд. Навіть сіра інженерна роба сиділа на ній так, що чудово підкреслювала фігуру пілотеси. Розстебнутий до половини верх комбінезона вона обв’язала рукавами довкола стегон. Багато хто хотів би опинитися на місці тих рукавів… Завдяки невтомній турботі про себе Юля стала першою красунею станції. Без жодних перебільшень. За всю її історію. Іноді вона була аж надто емоційна, але ж пілоти всі такі. Робота вимагає від них граничної зосередженості, от вони й надолужують у звичайному житті. А як доля звела її із Сергієм, досі ніхто не знає. Культурна спорідненість, як каже він. Вона жваво розмовляла з невисоким, але напрочуд ґречним біохіміком Акіто Таконаші та замисленим психологом Шоном Чаном. Голоси вже лунали на всю їдальню.

P048	— Тако, ну чому ти постійно зі мною сперечаєшся? Аргументи ж залізобетонні!

P049	— Міс Дасс, ви мені вкрай симпатичні, але ваші аргументи просто нелогічні. Ви заперечуєте погляд на це питання з боку біохімії! Пане Чане, ви згодні?

P050	— Мені зрозуміла ваша точка зору, пане Таконаші. Вона слушна лише за умови існування подібної цивілізації.

P051	— Чого ви так завелися, народ? Точніше, завелася! Джулі, невже знову сперечаєтеся про іншопланетян? — капітан підійшов до столика. — Знову намагаєшся переконати хлопців?

P052	— Аякже! Я їм доведу: коли ми зустрінемося з іншопланетянами, вони неодмінно нас прикінчать! Треба бити першими, щоб вони й отямитися не встигли. Як бояться, то поважають!

P053	— А якщо вони сильніші? — запитав Генрі.

P054	— Тоді ми їх кмітливістю! — Юля грюкнула кулаком по столу, допила пиво й рішуче поглянула в бік бару. — Серьога там іще не закінчив?

P055	— Він біля барної стійки. Візьме кілька порцій, потім у нього забереш. Хоча… герой уже повертається.

P056	Технік підійшов із кількома келихами пива й вина на таці.

P057	— Серж, вони знову теревенять про контакти.

P058	— Та я й не сумнівався. Привіт, моя чорнокрила бісинко. — Сергій поцілував Юлю. — Досі сперечаєтеся?

P059	— Звісно, білокрилий мій! Ми ще в процесі. Я візьму в тебе одне пиво? — вона всміхнулася й мило зазирнула йому в очі.

P060	— А в мене є вибір?

P061	— А сам як думаєш?

P062	— Ех-х… — він посунув келих ближче до неї й зітхнув. — Я так розумію, мені все-таки доведеться розсудити вас, еге ж? — Баровський узяв келих темного й добряче відпив. — А я вже думав, що пронесе. Через що весь цей гармидер?

P063	— Нехай Тако й Шон скажуть першими. Вони ж у нас науковці зі ступенями.

P064	— Юлю, пасивна агресія не розв’язує проблем, а лише створює нові. Пане Таконаші, ви не проти, якщо я почну першим? — Шон повернувся до біохіміка, який сидів поруч.

P065	— Анітрохи, пане Чане. — Науковець кивнув у відповідь.

P066	— Отже, як ви вже всі знаєте, тема нашої дискусії — реакція людства на контакт з іншопланетною расою. Наші погляди розходяться з огляду на специфіку нашої діяльності. Юля міркує з погляду військового ремесла, а ми — з погляду психології та біохімії. Це аж ніяк не означає, що ці підходи протиставлені один одному, просто вони різні за суттю.

P067	— Шоне, то що там із боку психології? — запитав Сергій.

P068	— У XXI столітті існувала така програма, як SETI. Вона спеціалізувалася на пошуку позаземних радіосигналів. І в цьому була головна помилка. Психологи вважають, що людство не може виявити позаземний розум через аналог сліпоти неуваги. Цей психологічний феномен полягає в нездатності розгледіти предмет, який потрапив у поле зору, через присутність інших об’єктів, на яких зосереджена увага людини. На доказ своєї думки психологи залучили сто тридцять сім добровольців до когнітивного тесту з кількох частин. Перша перевіряла когнітивну рефлексію — здатність людини правильно розв’язати задачу, швидка інтуїтивна відповідь на яку є хибною. Після цього учасникам показували аерофотографії штучних і природних об’єктів. В один зі знімків вставили зменшене зображення людини в костюмі горили — натяк на знаменитий експеримент із невидимою горилою. Виявилося, що ті, хто був схильний до імпульсивної поведінки й поспішав дати неправильну відповідь, частіше помічали горилу на знімках. Водночас люди з аналітичним складом розуму більше схильні до «сліпоти неуваги». На думку психологів, такі результати свідчать, що науковці, можливо, не помічають інших доказів існування позаземних цивілізацій. Це також означає, що іншопланетяни, навіть якщо знайдуть нас, можуть так само просто нас не помітити. Вони можуть діяти в іншому просторі. Тому мені здається, що іншопланетян ми так ніколи й не знайдемо. Така моя версія.

P069	— Можу додати, Шоне, що психологи також розкритикували шкалу Кардашова, якою оцінюють технологічний розвиток гіпотетичної цивілізації за кількістю споживаної нею енергії. Цивілізації першого типу використовують усі доступні ресурси рідної планети, другого — енергію зорі, а третього — енергію всієї галактики. Отже, пошук радіосигналів дає змогу знайти лише цивілізації першого типу. Чимало чинників свідчать, що контакт з іншопланетянами взагалі неможливий.

P070	— Так точно, лейтенанте. — Ствердно кивнувши Сергієві, Шон подивився на японця. — Тепер ви, пане Таконаші.

P071	— Дякую, пане Чане. Якщо високоповажний професор говорить про неможливість контакту загалом, то я наполягаю, що контакт неодмінно станеться — рано чи пізно, але майже напевно не з гуманоїдною расою. Адже Всесвіт настільки різноманітний, а абсолютної більшості систем ми навіть не бачили, не кажучи вже про глибокі дослідження. Так, набагато легше міркувати, ніби іншопланетні цивілізації розвивалися так само, як ми, але це не так. Існує неосяжна кількість шляхів розвитку. Вони нам просто невідомі! Тут уся річ у біології. Феномен «іншопланетної ДНК». Ви не раз читали в книжках або бачили у фільмах, що іншопланетяни вбудували в людину «свою ДНК», науковці схрестили «ДНК іншопланетян» із ДНК людини — такі сюжетні елементи трапляються в багатьох науково-фантастичних творах. І в усіх цих творах наявність в іншопланетян генетичного коду, аналогічного людському, сприймається як певний закон природи й самоочевидний факт. Однак це не так…

P072	— Точно, Тако, — підтвердила пілотеса. — У мене ще свіжі враження від прочитаного бестселера Сема Прокланда про злиття тіл чужих і людей у «Сатіократії». Класний роман! Коли Алекса закохалася в дослідницю раси Крі, Ксаорші…

P073	— А з погляду науки — цілковита нісенітниця! — перебив її біохімік. — Генетичний код — це послідовність нуклеотидів, з яких складається молекула ДНК. Спосіб кодування інформації в молекулі ДНК однаковий у всіх земних організмів. Саме тому людська клітина, заражена вірусом, розуміє мову вірусної ДНК і на її основі може створити мільйони нових вірусів. Так вірус уражає людину й розмножується її коштом. Суть у тому, що ми маємо спільного предка, а тому сумісні. Натомість прибульці з інших планет будуть з іншого «генетичного тіста». Можливо, вони взагалі зберігають інформацію не в ДНК, а в якийсь інший спосіб. Тому немає підстав вважати, що ми неодмінно зустрінемо гуманоїдів. Найімовірніше, це буде щось інше. Просто наука ще не знає, що саме.

P074	— Тако, я не казала, що загарбники будуть саме гуманоїдами! Я лише кажу, що вони точно нас знищать. Ну або ми їх.

P075	— Ви щойно прямо сказали, міс Дасс, що вони гуманоїди.

P076	— Я тебе не розумію… — Юля похитала головою. — Чому, якщо вони агресивні, то відразу гуманоїди?

P077	— Те, що в умовах еволюції відрізняє людину від інших видів живих істот на нашій планеті, ґрунтується на головному принципі — агресії. Щоб будь-який вид успішно розмножувався в межах певного середовища, йому необхідно протистояти труднощам і долати їх. Це підштовхує до розвитку еволюційних адаптацій. Домінантна форма життя на планеті — а саме до такої форми, на вашу думку, належать іншопланетяни — має повністю підкорити собі середовище, у якому існує, — пояснив Таконаші.

P078	— Правильно, Тако. І будь-яка форма розумного життя, яка дістанеться нашої планети, прибуде з дослідницькою метою. Іншопланетяни, як і будь-який інший розвинений вид, використовуватимуть технології собі на користь. Найімовірніше, вони знищать усе живе на планеті, яку оберуть за ціль і на яку захочуть висадитися. Навряд чи це буде війна світів. Радше нас просто винищать без зайвого галасу, наче ненависних комах. Тому треба діяти на випередження. Бабахнути в їхній бік гучніше, щоб зрозуміли: ми не таргани!

P079	— Я ж і кажу: ви відразу припускаєте, що чужий розум ухвалюватиме рішення, схожі на людські, а це означає, що ви вважаєте іншопланетну расу гуманоїдною і схильною діяти так само, як ми. У цьому й полягає біологічна теза: ви міркуєте з погляду людини про людину.
