P156	— Тут душу не можна скалічити, для цього існує Земля.
P192	— Це законний результат аморального й нещасливого життя. — Наталія розвела руками.

P193	— Який я щасливий, що був щасливий! — вигукнув я й знову сів. Серце досі шалено калатало. — Так, приблизно так я собі це й уявляв. Не знаю нічого гіршого за неробство чи отупіння. Безжальна справедливість.

P194	— Правильно. П’яте запитання?

P195	— Ем… Так-так, п’яте запитання. — Я трохи заспокоївся. — Радше навздогін попередньому. Чи можу я потрапити до раю або пекла інших людей? Професійний інтерес.

P196	— Теж ні. Як я вже казала, вам доступне все з вашого життя й усе, що людство створило до миті вашої смерті. Крім того, ви маєте доступ до всього, що душі створили вже в раю. Вловили закономірність?

P197	— Певною мірою. Можна користуватися лише тим, із чим було пов’язане моє життя, і тим мистецтвом, яке я міг би пізнати до смерті, бо за вічність навіть щасливе життя набридне.

P198	— Так. З тієї самої причини ми не даємо інформації про все, що відбуватиметься від миті смерті. Ви цього, найімовірніше, не зрозумієте.

P199	— Зрозумів. І оскільки все тримається на спогадах, які я можу переживати нескінченно, чи можу задля різноманіття їх змінювати? Не просто йти за ними, а впливати на події?

P200	— Так, можете.

P201	— Фух! А я вже думав, що вловив закономірність ваших відповідей: ні, ні, ні, ні, ні. А тут — так! Чудово! Отже, можна розважитися на повну.

P202	— Із певними застереженнями. Зміни можуть бути лише незначними й не виходити за межі вашої тодішньої моралі. Якщо в п’ять років ви вважали, що вкрасти кілька цукерок — не так уже й погано, то можете замість них поцупити батон, шоколадку чи лимонад. Але взяти батон і відлупцювати ним продавця вже не вийде. Або якщо у двадцять років ви кохаєтеся з дівчиною й хочете змінити позу — будь ласка. Та прив’язати її до труби й утнути щось, гм-м, експериментальніше — ні. Навіть заради різноманіття. Це вже виходить за межі вашої моралі на той момент.

P203	— Не позбавлено сенсу. Я б у будь-якому разі такого не зробив.

P204	— Ніколи не кажи «ніколи». У вічності ця фраза має сакральний сенс. Попри те, що ми трохи затрималися, ставте останнє запитання — і закінчимо.

P205	— Гаразд. Як заповіді й, відповідно, гріхи оцінювалися за важливістю? Як вони видозмінилися за цей час?

P206	— Пояснення затягнеться.

P207	— У нас часу, як казав один космічний десантник в «Історії іграшок», до нескінченності й далі!

P208	— Почнімо із заповідей. До парафіяльної школи ви, природно, не ходили й усього не пам’ятаєте. Опишу їх простою та зрозумілою мовою, без чіткого дотримання Святого Письма: <i>вірити в єдиного Бога</i>, <i>не створювати собі кумирів</i>, <i>не вимовляти ім’я Бога намарно</i>, <i>пам’ятати про вихідний</i>, <i>шанувати й поважати батьків</i>, <i>не вбивати</i>, <i>не чинити перелюбу</i>, <i>не красти</i>, <i>не брехати, не заздрити</i>.

P209	— Та пам’ятаю я їх, — ображено озвався я.

P210	— <i>Вірити в єдиного Бога</i>. Цю заповідь ми зробили несуттєвою. Особливо для атеїстів і всіх подібних. Дехто навіть пропонував її прибрати, адже люди й так вірять, але традиція є традиція. Переважна більшість людей вірить у єдиного Бога, а невелика група не вірить узагалі, тож ця заповідь уже не така важлива, як колись. Ясна річ, Землю ми створили не відразу, а методом спроб і помилок. Тому щодо еволюції людини Дарвін таки мав рацію. Щоправда, рушієм була не природа, а експерименти архікерівництва. Лише бос усе знає й уміє, але особисто створювати людей «за образом своїм, за подобою своєю» йому не довелося. Як я вже казала, робота потрібна всім, тож усі радощі вашого створення він доручив керівникам нижчого рангу. Так дослідним шляхом вони й дійшли до людей. До чого це я?.. Спочатку люди мало чим відрізнялися від тварин і вірили здебільшого в те, що бачили. Треба було вас якось переконати. Бос призначив дрібніших керівників департаментів природних явищ. Бачиш блискавку? Це такий бог. Океан? Інший бог. Кожен народ вигадував їм власні імена, але суті це не змінювало. Кілька тисячоліть — і людство вже вірить у богів. Лишалося переконати людей, що Бог насправді один. Крім того, компанія мала ще кілька правил. Їх і подали як заповіді, щоб люди знали, як жити.

P211	— Яка струнка теорія вийшла! І еволюція була, і Бог єдиний.

P212	— Щоб люди щиро вірили, вони мають у цій вірі народитися й жити. Щирим легше переконувати інших. А вже в який спосіб — не мені вирішувати. У будь-якому разі віра вкаже чіткий шлях.

P213	— Я певною мірою заздрив вірянам. Не релігійним фанатикам, а тим, хто виявляє свою віру дотриманням заповідей. Не ходінням до церкви. Усе-таки релігію та віру я розрізняю.

P214	— Не можу ні погодитися, ні заперечити. <i>Не створювати собі кумирів.</i> Тут ідеться про ідолопоклонство, тому важливість цієї заповіді й проблема, яку вона розв’язувала, ті самі, що й у попередньої. <i>Не вимовляти ім’я Бога намарно</i>. Як ви розумієте, бос чує всіх, хто молиться. У кращому разі це просто важко, у гіршому — постійна мігрень. Заповідь не найважливіша, але під час особистої зустрічі бос міг би запитати, навіщо ви все життя дошкуляли йому дрібницями. От і запровадили правило: не турбувати його через дурниці. Бос — постать значна, і коли хтось просить гарну іграшку, машину чи он ту жінку, яка пританцьовує на барній стійці, це велика неповага до Всевишнього. Особливо до його відпочинку.

P215	— Згоден. Відпочивати треба всім, навіть Богові.

P216	— Так ми плавно переходимо до заповіді <i>завжди пам’ятати про вихідний день.</i> Хто забагато працює, той рано помирає. А бос любить людей і хоче, щоб вони жили довго й щасливо, тому й наказав відпочивати. До того ж, коли людство відпочиває, бос може спокійно всіх вислухати: молитов багато, а він один.

P217	— Важка й відповідальна посада.

P218	— Так. Хоч і в нас тут клопоту з душами вистачає. Ідемо далі за списком. <i>Шанувати й поважати батьків.</i> Це теж було потрібно радше для зручності. Ясна річ, батько-алкоголік і мати-наркоманка не претендують на премію «Батьки року», і «шанувати й поважати» їх немає за що. Ішлося насамперед про те, щоб діти успадковували віру батьків і прихильно ставилися до можновладців, серед яких часто була й церква. Так релігію поширювати простіше.

P219	— А далі ж ітиметься про вбивства? Не можу сказати точно, я ж не рахував, але статистика свідчить, що найбільше людей убили в ім’я Господа нашого. Як це взагалі працює?

P220	— Уся проблема в людській недосконалості. Ви, люди, створіння податливі й надзвичайно вправно спотворюєте суть. Сказано ясно: <i>не вбивати,</i> а тут неодмінно хтось запропонує: «Так, але-е-е-е… це ж тільки наших? А сарацинів можна?» Отак і повелося. Це одна з найнепорушніших заповідей. Але Бог терпів — і нам велів, як то кажуть. От ми й терпимо.

P221	— Отже, убивці до раю не потрапляють.

P222	— У переважній більшості випадків — так, але є винятки: якщо людина щиро розкаялася в ненавмисному вбивстві, своїми діями врятувала сотні чи тисячі життів або вбила, захищаючи себе. І повірте, тих, хто врятував стільки інших, за всю історію людства не так уже й багато.

P223	— З морального погляду часто складно визначити, наскільки ненавмисним було вбивство й наскільки сильно людина розкаялася.

P224	— Ми у «Чист і Лище» не поліція: ми знаємо, про що думає душа і які рішення ухвалює. Кожен для нас — відкрита книга. Як ви вже зрозуміли, ця заповідь — одна з двох найважливіших. Наступний пункт: <i>не чинити перелюбу</i>. Колись ця заповідь була необхідна. І якщо питання моногамності ще можна не чіпати, то сублімації ніхто не скасовував. Заповідь не лише про те, щоб усе життя бути з однією людиною, а й про те, щоб «помисли ваші були чисті». І тут ми стаємо на слизьку стежку бажань. У вашому випадку надворі кінець другого тисячоліття. Інтернет доступний усім. А там безліч красивих і навіть дуже красивих жінок, чоловіків і бозна-кого ще. Усе життя дивитися на втілення різних ідеалів — різних пропорцій і в різній кількості одягу — й не думати про них? Не хотіти бути з ними, на них чи під ними? Мало хто на таке здатен. Але якщо вас іноді навідують особисті бажання, від них нікому ні холодно ні жарко. Ніхто не страждає, а вам легшає. То навіщо забороняти? Спочатку керівництво, звісно, використовувало стриманість як спосіб сублімації: спрямовувало енергію на поширення правильних поглядів. Та вже сотні років у цьому немає сенсу. Тому скажу так: заповідь важлива частково. Має середню вагу. Бо якщо обіцяєте партнерові бути з ним завжди й присягаєте перед босом, то дотримуйтеся обіцянки або чесно розлучайтеся. А після розлучення робіть що хочете. Бажано, не з людьми, які самі перебувають у шлюбі чи стосунках. Бо відсотки стрімко полетять униз.

P225	— Наступний пункт мені теж цікавий. Скажу чесно, малим грішив: цукерки в продуктовій крамниці були надто вже смачні.

P226	— <i>Не красти</i> — правило важливе. Вам, як і босові, було б украй неприємно дізнатися, що хтось поцупив усе майно, яке ви накопичували заради затишного життя, і тепер ви не маєте нічого. Така крадіжка може підштовхнути окремих людей, спільноти й навіть країни до страшних учинків. Як і з убивством, тут є різні ступені провини. Якщо ваша крадіжка довела людину до самогубства або спровокувала на злочин — це величезний мінус під час розподілу балів. А якщо в дитинстві ви вкрали цукерку, нехай навіть кілька разів, — теж погано, але не зрівняти зі сказаним вище. Поцупити кілька цукерок погано, та не смертельно. А вбити «трошки» не вийде. Це завершена дія, і обговорювати тут нічого.

P227	— Логічно. Я трохи переживав, що міг напартачити за цим пунктом.

P228	— Не варто марнувати нерви. Головне, що <i>не брехали.</i> Це теж заповідь середньої важливості, і все залежить від того, що саме ви прикрасили. Якщо ви сказали, що важите не сто кілограмів, а дев’яносто п’ять — чи не однаково? Тут важливіше, щоб ваша брехня не впливала на інших людей. Якщо після сказаного вам стало легше — ну й чудово, невеликий мінус у моральному аспекті може дати великий плюс до задоволеності життям. Полегшало? Насолоджуйтеся! А якщо ви брешете вже за звичкою й без причини — пожинайте плоди своїх дій. Гірка правда краща за солодку брехню. Недарма є така народна мудрість.

P229	— Отже, брехати — це не так уже й погано?
