P181	— Дякую за докладну відповідь.
P208	— Почнімо із заповідей. До парафіяльної школи ви, природно, не ходили й усього не пам’ятаєте. Опишу їх простою та зрозумілою мовою, без чіткого дотримання Святого Письма: <i>вірити в єдиного Бога</i>, <i>не створювати собі кумирів</i>, <i>не вимовляти ім’я Бога намарно</i>, <i>пам’ятати про вихідний</i>, <i>шанувати й поважати батьків</i>, <i>не вбивати</i>, <i>не чинити перелюбу</i>, <i>не красти</i>, <i>не брехати, не заздрити</i>.

P209	— Та пам’ятаю я їх, — ображено озвався я.

P210	— <i>Вірити в єдиного Бога</i>. Цю заповідь ми зробили несуттєвою. Особливо для атеїстів і всіх подібних. Дехто навіть пропонував її прибрати, адже люди й так вірять, але традиція є традиція. Переважна більшість людей вірить у єдиного Бога, а невелика група не вірить узагалі, тож ця заповідь уже не така важлива, як колись. Ясна річ, Землю ми створили не відразу, а методом спроб і помилок. Тому щодо еволюції людини Дарвін таки мав рацію. Щоправда, рушієм була не природа, а експерименти архікерівництва. Лише бос усе знає й уміє, але особисто створювати людей «за образом своїм, за подобою своєю» йому не довелося. Як я вже казала, робота потрібна всім, тож усі радощі вашого створення він доручив керівникам нижчого рангу. Так дослідним шляхом вони й дійшли до людей. До чого це я?.. Спочатку люди мало чим відрізнялися від тварин і вірили здебільшого в те, що бачили. Треба було вас якось переконати. Бос призначив дрібніших керівників департаментів природних явищ. Бачиш блискавку? Це такий бог. Океан? Інший бог. Кожен народ вигадував їм власні імена, але суті це не змінювало. Кілька тисячоліть — і людство вже вірить у богів. Лишалося переконати людей, що Бог насправді один. Крім того, компанія мала ще кілька правил. Їх і подали як заповіді, щоб люди знали, як жити.

P211	— Яка струнка теорія вийшла! І еволюція була, і Бог єдиний.

P212	— Щоб люди щиро вірили, вони мають у цій вірі народитися й жити. Щирим легше переконувати інших. А вже в який спосіб — не мені вирішувати. У будь-якому разі віра вкаже чіткий шлях.

P213	— Я певною мірою заздрив вірянам. Не релігійним фанатикам, а тим, хто виявляє свою віру дотриманням заповідей. Не ходінням до церкви. Усе-таки релігію та віру я розрізняю.

P214	— Не можу ні погодитися, ні заперечити. <i>Не створювати собі кумирів.</i> Тут ідеться про ідолопоклонство, тому важливість цієї заповіді й проблема, яку вона розв’язувала, ті самі, що й у попередньої. <i>Не вимовляти ім’я Бога намарно</i>. Як ви розумієте, бос чує всіх, хто молиться. У кращому разі це просто важко, у гіршому — постійна мігрень. Заповідь не найважливіша, але під час особистої зустрічі бос міг би запитати, навіщо ви все життя дошкуляли йому дрібницями. От і запровадили правило: не турбувати його через дурниці. Бос — постать значна, і коли хтось просить гарну іграшку, машину чи он ту жінку, яка пританцьовує на барній стійці, це велика неповага до Всевишнього. Особливо до його відпочинку.

P215	— Згоден. Відпочивати треба всім, навіть Богові.

P216	— Так ми плавно переходимо до заповіді <i>завжди пам’ятати про вихідний день.</i> Хто забагато працює, той рано помирає. А бос любить людей і хоче, щоб вони жили довго й щасливо, тому й наказав відпочивати. До того ж, коли людство відпочиває, бос може спокійно всіх вислухати: молитов багато, а він один.

P217	— Важка й відповідальна посада.

P218	— Так. Хоч і в нас тут клопоту з душами вистачає. Ідемо далі за списком. <i>Шанувати й поважати батьків.</i> Це теж було потрібно радше для зручності. Ясна річ, батько-алкоголік і мати-наркоманка не претендують на премію «Батьки року», і «шанувати й поважати» їх немає за що. Ішлося насамперед про те, щоб діти успадковували віру батьків і прихильно ставилися до можновладців, серед яких часто була й церква. Так релігію поширювати простіше.

P219	— А далі ж ітиметься про вбивства? Не можу сказати точно, я ж не рахував, але статистика свідчить, що найбільше людей убили в ім’я Господа нашого. Як це взагалі працює?

P220	— Уся проблема в людській недосконалості. Ви, люди, створіння податливі й надзвичайно вправно спотворюєте суть. Сказано ясно: <i>не вбивати,</i> а тут неодмінно хтось запропонує: «Так, але-е-е-е… це ж тільки наших? А сарацинів можна?» Отак і повелося. Це одна з найнепорушніших заповідей. Але Бог терпів — і нам велів, як то кажуть. От ми й терпимо.

P221	— Отже, убивці до раю не потрапляють.

P222	— У переважній більшості випадків — так, але є винятки: якщо людина щиро розкаялася в ненавмисному вбивстві, своїми діями врятувала сотні чи тисячі життів або вбила, захищаючи себе. І повір, тих, хто врятував стільки інших, за всю історію людства не так уже й багато.

P223	— З морального погляду часто складно визначити, наскільки ненавмисним було вбивство й наскільки сильно людина розкаялася.

P224	— Ми у «Чист і Лище» не поліція: ми знаємо, про що думає душа і які рішення ухвалює. Кожен для нас — відкрита книга. Як ти вже зрозумів, ця заповідь — одна з двох найважливіших. Наступний пункт: <i>не чинити перелюбу</i>. Колись ця заповідь була необхідна. І якщо питання моногамності ще можна не чіпати, то сублімації ніхто не скасовував. Заповідь не лише про те, щоб усе життя бути з однією людиною, а й про те, щоб «помисли твої були чисті». І тут ми стаємо на слизьку стежку бажань. У твоєму випадку надворі кінець другого тисячоліття. Інтернет доступний усім. А там безліч красивих і навіть дуже красивих жінок, чоловіків і бозна-кого ще. Усе життя дивитися на втілення різних ідеалів — різних пропорцій і в різній кількості одягу — й не думати про них? Не хотіти бути з ними, на них чи під ними? Мало хто на таке здатен. Але якщо тебе іноді навідують особисті бажання, від них нікому ні холодно ні жарко. Ніхто не страждає, а тобі легшає. То навіщо забороняти? Спочатку керівництво, звісно, використовувало стриманість як спосіб сублімації: спрямовувало енергію на поширення правильних поглядів. Та вже сотні років у цьому немає сенсу. Тому скажу так: заповідь важлива частково. Має середню вагу. Бо якщо обіцяєш партнерові бути з ним завжди й присягаєш перед босом, то дотримуйся обіцянки або чесно розлучайся. А після розлучення роби що хочеш. Бажано, не з людьми, які самі перебувають у шлюбі чи стосунках. Бо відсотки стрімко полетять униз.

P225	— Наступний пункт мені теж цікавий. Скажу чесно, малим грішив: цукерки в продуктовій крамниці були надто вже смачні.

P226	— <i>Не красти</i> — правило важливе. Тобі, як і босові, було б украй неприємно дізнатися, що хтось поцупив усе майно, яке ти накопичував заради затишного життя, і тепер ти не маєш нічого. Така крадіжка може підштовхнути окремих людей, спільноти й навіть країни до страшних учинків. Як і з убивством, тут є різні ступені провини. Якщо твоя крадіжка довела людину до самогубства або спровокувала на злочин — це величезний мінус під час розподілу балів. А якщо в дитинстві ти вкрав цукерку, нехай навіть кілька разів, — теж погано, але не зрівняти зі сказаним вище. Поцупити кілька цукерок погано, та не смертельно. А вбити «трошки» не вийде. Це завершена дія, і обговорювати тут нічого.

P227	— Логічно. Я трохи переживав, що міг напартачити за цим пунктом.

P228	— Не варто марнувати нерви. Головне, що <i>не брехав.</i> Це теж заповідь середньої важливості, і все залежить від того, що саме ти прикрасив. Якщо ти сказав, що важиш не дев’яносто п’ять кілограмів, а сто — чи не однаково? Тут важливіше, щоб твоя брехня не впливала на інших людей. Якщо після сказаного тобі стало легше — ну й чудово, невеликий мінус у моральному аспекті може дати великий плюс до задоволеності життям. Полегшало? Насолоджуйся! А якщо ти брешеш уже за звичкою й без причини — пожинай плоди своїх дій. Гірка правда краща за солодку брехню. Недарма є така народна мудрість.

P229	— Отже, брехати — це не так уже й погано?

P230	— Якщо ти переспав із чужою жінкою, уже порушивши одну із заповідей, а потім іще й дружині збрехав, що такого не було, — я тобі не заздрю. Такою брехнею ти шкодиш близькій людині, а це велика неповага не лише до неї, а й до боса. Тому все відносно. Наша позиція така: брехати погано. А міру провини кожен визначає сам для себе.

P231	— Складна арифметика.

P232	— Коли просто — не так цікаво. Ти ж сам це казав про навчання. І нарешті стара добра <i>заздрість</i>! Як і в усьому, тут треба знати міру. Якщо заздрість до чужого щастя чи майна з’їдає тебе зсередини й штовхає на босоневгодні діяння — розплачуйся, так би мовити, дзвінкою монетою сумління. Якщо ж вона спонукає тебе досягати свого — це все ще сумно, але не критично. Мету кожен має ставити й досягати заради себе та власних потреб, а не через бажання заволодіти чужим. Такі справи.

P233	— Нічого й не скажеш, — підсумував я. — Виходить, Карлін мав рацію.

P234	— Хто це й у чому мав рацію?

P235	— Та так, один відомий комік. Він вважав так: «Будь завжди вірним і чесним із кожним. І постарайся нікого не вбити». Щоправда, він додавав: «Якщо інші не моляться іншому богові». Але це ми вже обговорювали.

P236	— Правильно. Хочете ще щось додати?

P237	— Лише одне правило: «Залиште свою релігію при собі».

P238	— Як ви вже розумієте, нам така заповідь точно не потрібна.

P239	— А чому? Якщо не розуміти дослівно, ідея ж проста: не нав’язувати своїх переконань людям, які не хочуть їх слухати. Коли людина ввічливо сказала «ні», не треба так наполягати, щоб їй закортіло послати вас у далеку пішу мандрівку.

P240	— Думаю, ідея хороша. Я доповім про це керівництву. — Дівчина встала й узяла теку зі столу.

P241	— Дякую, буду вдячний. Здається, запитань більше немає. — Я спокійно підвівся зі стільця й рішуче простягнув їй руку на прощання.

P242	— Чудово! Тоді… — Вона потиснула мені руку й указала на вихід. — Ось, прошу любити й шанувати: ваш дім!

P243	Ми пройшли крізь двері, і я опинився на невеликій лісовій галявині біля широкої повноводої річки. Саме так я й уявляв рай. Зустрічатися з Богом поки не хотілося: я так і не зрозумів, про що його запитати. Ось придумаю — і неодмінно навідаюся. Шкода, що як агностик маю лише одну нагоду. Певно, у вірян усе трохи інакше. Я сів на траву, глянув у небесну блакить і почав обмірковувати план нового, вічного життя.

P244	<b>P.S. Головне запитання</b>

P245	Трохи згодом я зрозумів, про що хочу запитати праотця всіх живих і мертвих. За першість у моїй голові довго змагалися кілька питань, але переможця не було. Одне звучало так: «Чому існує зло?» Спочатку воно здавалося важливим, та я усвідомив, що знаю відповідь. Зла немає — є хибні людські рішення. Творець дав людям самостійність, а отже, не хотів втручатися в їхні проблеми. То чому він має їх розв’язувати? Люди повинні жити для себе й відповідати за власний вибір. А вже віддати кожному по заслузі — його найперший обов’язок. Я сів за термінал і прийняв запрошення на зустріч із «босом», як називала його Наталія. Запитання чекало свого часу.

P246	За кілька митей у двері постукали. Я підвівся з-за столу й кинувся відчиняти. Не тямлячи себе від нетерпіння, смикнув за ручку й побачив його. Хоч як прикро це визнавати, я завжди думав: якщо Бог існує, то має бути схожий на Зевса або просто на сивобородого старого, ще дужого тілом і духом. Саме такого я й побачив.

P247	— Вітаю, сину мій, — сказав він, переступаючи поріг. — Знаю, за земного життя ти в мене не вірив, але ось він я. Люблю дивувати своїх дітей. Не соромся емоцій.

P248	— На співбесіді я б здивувався, але не зараз. Я вже встиг підготуватися, та й мені казали, що тут усе постає таким, як уявляє душа. Ось і ти точнісінько з моїх фантазій, — промовив я, стримуючи подив.

P249	— Твої емоції видно, тож не варто їх приховувати. У тобі є трепет і страх, надія, віра, навіть любов. Та як хочеш.

P250	— Дякую, Всевишній. — Я чомусь вклонився йому й пропустив усередину.

P251	Кілька хвилин я все ще дивився на нього, а він на мене. Потім зібрався з думками.

P252	— Поки не побачив тебе, я був певен, що запитаю: «Чому ти не зробиш усіх людей щасливими?» Щоб людина прожила частину життя, а потім — хоп! — і все зрозуміла. Чим хоче займатися до кінця днів. До чого лежить душа. Зрозуміла щось таке ж прекрасне, як слова рідної людини: «Я тебе люблю». Як довіра дитини, яка після довгого дня каже тобі «тату», залазить на коліна, притуляється до грудей і мирно засинає. Як життя в голих кронах дерев, що прокидаються після довгої зими. Можливо, як у мене, душа роками боятиметься й відкладатиме — не наважуватиметься робити те, для чого народилася. Тоді можна допомогти інакше: поволі, але наполегливо засипати людину ідеями, знаками й прикладами. Підказувати, що саме цим їй треба займатися, що саме тут вона досягне успіху й буде потрібна. Чому ти не можеш зробити всіх людей щасливими? — Я збуджено кружляв кімнатою, не знаходячи спокою. — Поки міркував над своїм запитанням, відкинув запитання про зло у світі. А побачивши в дверях тебе, істоту немислиму й незбагненну, зрозумів, що й на запитання про щастя знаю відповідь. Яку? Ти не хочеш втручатися в людське життя. Хоч би як мені цього хотілося, ти створив нас, щоб ми самі дорослішали й училися на власних помилках. — Я сів на кушетку й перевів подих. — І цього вже не змінити. Тепер, дивлячись у твої мудрі очі, я поставлю найскладніше запитання світобудови. Те саме, яке ставив собі біля вогню, під шум хвиль чи шелест листя. Воно непокоїло мене і в десять років, і в сімдесят. І ось моє запитання. Куди відлітають качки взимку?

P253	— Цього, Дмитре Івановичу, навіть я не знаю. — Він усміхнувся, розвернувся й пішов собі.
